2011-05-31 11:21:06 Warning: Warning (2): move_uploaded_file() [http://php.net/function.move-uploaded-file]: Unable to move '/tmp/phpYcKmX4' to '/tmp/phpYcKmX4' in [/home/kurtis/server/marketplace/app/controllers/listings_controller.php, line 136]
2011-05-31 11:31:43 Warning: Warning (2): move_uploaded_file(img//tmp/php1o2JKN) [http://php.net/function.move-uploaded-file]: failed to open stream: No such file or directory in [/home/kurtis/server/marketplace/app/controllers/listings_controller.php, line 136]
2011-05-31 11:31:43 Warning: Warning (2): move_uploaded_file() [http://php.net/function.move-uploaded-file]: Unable to move '/tmp/php1o2JKN' to 'img//tmp/php1o2JKN' in [/home/kurtis/server/marketplace/app/controllers/listings_controller.php, line 136]
2011-05-31 11:33:07 Warning: Warning (2): move_uploaded_file(img/email qr.png) [http://php.net/function.move-uploaded-file]: failed to open stream: Permission denied in [/home/kurtis/server/marketplace/app/controllers/listings_controller.php, line 136]
2011-05-31 11:33:07 Warning: Warning (2): move_uploaded_file() [http://php.net/function.move-uploaded-file]: Unable to move '/tmp/phpthEq7n' to 'img/email qr.png' in [/home/kurtis/server/marketplace/app/controllers/listings_controller.php, line 136]
2011-05-31 11:40:52 Warning: Warning (2): move_uploaded_file(img/email1.jpeg) [http://php.net/function.move-uploaded-file]: failed to open stream: Permission denied in [/home/kurtis/server/marketplace/app/controllers/listings_controller.php, line 136]
2011-05-31 11:40:52 Warning: Warning (2): move_uploaded_file() [http://php.net/function.move-uploaded-file]: Unable to move '/tmp/php02pCmm' to 'img/email1.jpeg' in [/home/kurtis/server/marketplace/app/controllers/listings_controller.php, line 136]
2011-05-31 11:42:40 Warning: Warning (2): move_uploaded_file(img/email1.jpeg) [http://php.net/function.move-uploaded-file]: failed to open stream: Permission denied in [/home/kurtis/server/marketplace/app/controllers/listings_controller.php, line 136]
2011-05-31 11:42:40 Warning: Warning (2): move_uploaded_file() [http://php.net/function.move-uploaded-file]: Unable to move '/tmp/phpqfingI' to 'img/email1.jpeg' in [/home/kurtis/server/marketplace/app/controllers/listings_controller.php, line 136]
2011-05-31 11:42:40 Warning: Warning (512): Method FormHelper::labelTag does not exist in [/home/kurtis/server/marketplace/cake/libs/view/helper.php, line 154]
2011-05-31 11:42:40 Warning: Warning (512): Method HtmlHelper::file does not exist in [/home/kurtis/server/marketplace/cake/libs/view/helper.php, line 154]
2011-05-31 11:42:58 Warning: Warning (512): Method FormHelper::labelTag does not exist in [/home/kurtis/server/marketplace/cake/libs/view/helper.php, line 154]
2011-05-31 11:42:58 Warning: Warning (512): Method HtmlHelper::file does not exist in [/home/kurtis/server/marketplace/cake/libs/view/helper.php, line 154]
2011-05-31 11:44:39 Warning: Warning (512): Method FormHelper::labelTag does not exist in [/home/kurtis/server/marketplace/cake/libs/view/helper.php, line 154]
2011-05-31 11:44:39 Warning: Warning (512): Method HtmlHelper::file does not exist in [/home/kurtis/server/marketplace/cake/libs/view/helper.php, line 154]
2011-05-31 11:44:45 Warning: Warning (512): Method FormHelper::labelTag does not exist in [/home/kurtis/server/marketplace/cake/libs/view/helper.php, line 154]
2011-05-31 11:44:45 Warning: Warning (512): Method HtmlHelper::file does not exist in [/home/kurtis/server/marketplace/cake/libs/view/helper.php, line 154]
2011-05-31 11:45:21 Warning: Warning (2): move_uploaded_file(img/email1.jpeg) [http://php.net/function.move-uploaded-file]: failed to open stream: Permission denied in [/home/kurtis/server/marketplace/app/controllers/listings_controller.php, line 136]
2011-05-31 11:45:21 Warning: Warning (2): move_uploaded_file() [http://php.net/function.move-uploaded-file]: Unable to move '/tmp/phpseAO6A' to 'img/email1.jpeg' in [/home/kurtis/server/marketplace/app/controllers/listings_controller.php, line 136]
2011-05-31 11:49:03 Warning: Warning (512): Method HtmlHelper::file does not exist in [/home/kurtis/server/marketplace/cake/libs/view/helper.php, line 154]
2011-05-31 11:52:25 Warning: Warning (2): move_uploaded_file(/home/kurtis/server/marketplace/app/webroot/email1.jpeg) [http://php.net/function.move-uploaded-file]: failed to open stream: Permission denied in [/home/kurtis/server/marketplace/app/controllers/listings_controller.php, line 136]
2011-05-31 11:52:25 Warning: Warning (2): move_uploaded_file() [http://php.net/function.move-uploaded-file]: Unable to move '/tmp/php2zo9MR' to '/home/kurtis/server/marketplace/app/webroot/email1.jpeg' in [/home/kurtis/server/marketplace/app/controllers/listings_controller.php, line 136]
2011-05-31 11:53:25 Warning: Warning (2): move_uploaded_file(/home/kurtis/server/marketplace/app/webroot/files/email1.jpeg) [http://php.net/function.move-uploaded-file]: failed to open stream: Permission denied in [/home/kurtis/server/marketplace/app/controllers/listings_controller.php, line 136]
2011-05-31 11:53:25 Warning: Warning (2): move_uploaded_file() [http://php.net/function.move-uploaded-file]: Unable to move '/tmp/phpD8BH3o' to '/home/kurtis/server/marketplace/app/webroot/files/email1.jpeg' in [/home/kurtis/server/marketplace/app/controllers/listings_controller.php, line 136]
2011-05-31 12:02:56 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column '2email1.jpeg' in 'field list'</span> in [/home/kurtis/server/marketplace/cake/libs/model/datasources/dbo_source.php, line 684]
2011-05-31 12:49:13 Warning: Warning (2): unlink(/home/kurtis/server/marketplace/app/webroot/files/2email4.jpeg) [http://php.net/function.unlink]: No such file or directory in [/home/kurtis/server/marketplace/app/controllers/listings_controller.php, line 159]
2011-05-31 13:06:02 Warning: Warning (2): Invalid argument supplied for foreach() in [/home/kurtis/server/marketplace/app/views/listings/view.ctp, line 9]
2011-05-31 13:06:32 Warning: Warning (2): Invalid argument supplied for foreach() in [/home/kurtis/server/marketplace/app/views/listings/view.ctp, line 9]
2011-05-31 13:06:56 Warning: Warning (2): Invalid argument supplied for foreach() in [/home/kurtis/server/marketplace/app/views/listings/view.ctp, line 9]
